ID,Nama Laptop,Seri ,Processor,Graphic Card,Storage ,RAM,OS,Harga,Port ,Image,category(nama brand),Panel layar,Refresh rate,Heavy
1,Vivobook Pro 15 OLED,K6065,Intel Core i7 12th gen ,NVIDIA GeForce RTX 3050 ,1 TB  ,16 GB,Windows 11,"Rp15.299.000,00",Thunderbolt 4 USBC port,Asus 1,ASUS,FHD (1920 x 1080) 16:9 anglare display,60Hz,1.65 Kg
2,ASUS Vivobook Pro 15 OLED,M6500,Intel Core i7 12th gen ,NVIDIA GeForce RTX 3050 ,1 TB ,16 GB,WIndows 11,"Rp13.399.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Asus 2 ,ASUS,"14” FHD (1920 x 1080) IPX, 300 nits, 45% NTSC, Anglare",60Hz,1.70 Kg
3,Vivobook Pro 14 OLED,M3401,AMD Ryzen 7,NVIDIA GeForce RTX 3050,512GB ,8 GB,Windows 11,"Rp14.499.000,00","USBC 3.2 Gen 1 (full funcon),2 x USBA 3.2 Gen 1",Asus 3,ASUS,"QHD+ 16:10 (2560 x 1600, WQXGA)Mini LED",60Hz,1.45 Kg
4,ASUS Vivobook Pro 16X OLED,K6604,Intel Core i9 ,NVIDIA GeForce RTX 4070,2 TB  ,64 GB ,Windows 11,"Rp30.999.000,00","1x Type C USB 4 support DisplayPort , power delivery",Asus 4,ASUS,"14″ FHD (1920 x 1080) TN, 250 nits, 45% NTSC",60Hz,2.00 Kg
5,Vivobook Pro 16X OLED,N7600,Intel Core i7 11th gen,NVIDIA GeForce RTX 3050,1 TB ,16 GB,Windows 11,"Rp19.299.000,00","USBC 3.2 Gen 1,2 x USBA 3.2 Gen 2",Asus 5,ASUS,"14"" WUXGA (1920 x 1200), IPS Display",60Hz,1.1 Kg 
6,ASUS Zenbook S 13,UX5304,Intel Core i7 13th gen , NVIDIA GeForce RTX 4060. ,1 TB ,32 GB,Windows 11,"Rp22.999.000,00",Thunderbolt 4 USBC port,Asus 6,ASUS,13.3” 2.8K OLED HDR ,60Hz,1.1 Kg 
7,Zenbook S 13 OLED,UM5302,AMD Ryzen 7 ,NVIDIA GeForce RTX 4060,1 TB ,16 GB ,Windows 11,"Rp18.999.000,00","USBC 3.2 Gen 1,2 x USBA 3.2 Gen 2",Asus 7,ASUS,"13.3"" 16:10 2.8K OLED",60Hz,1.35 Kg
8,Zenbook S 13 Flip ,UP5302,Intel Core i7 12th Gen ,NVIDIA GeForce RTX 3060 ,1 TB ,32 GB,Windows 11,"Rp23.999.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Asus 8,ASUS,15” OLED Display,120Hz,1.70 Kg
9,ROG Zephyrus G14 ,GA403,AMD Ryzen 7 ,NVIDIA GeForce RTX 4080 ,1 TB ,16 GB,Windows 11,"Rp28.999.000,00",Thunderbolt 4 USBC port,Rog 9,ASUS,"14″ WUXGA (1920 x 1200) IPS, 300 nits, anglare, 45% NTSC",120Hz,1.79 Kg
10,ROG Zephyrus G16,GU605,Intel Core i9, NVIDIA GeForce RTX 4080,2TB  ,32GB,Windows 11,"Rp53.999.000,00",Thunderbolt 4 USBC port,Rog 10,ASUS,2.5K  aspect rao OLED,240Hz,1.85 Kg
